title,franquicia,genres
Screamers,Screamers Collection,"['Horror', 'Science Fiction']"
Nico Icon,,['Documentary']
The Crossing Guard,,"['Drama', 'Thriller']"
The Juror,,"['Drama', 'Thriller']"
The White Balloon,,"['Family', 'Drama']"
Things to Do in Denver When You're Dead,,"['Drama', 'Crime']"
Antonia's Line,,"['Drama', 'Comedy']"
Once Upon a Time... When We Were Colored,,"['Romance', 'Drama']"
Last Summer in the Hamptons,,[]
Angels and Insects,,"['Drama', 'Romance']"
White Squall,,"['Action', 'Drama']"
Dunston Checks In,,"['Adventure', 'Comedy', 'Family']"
Black Sheep,,['Comedy']
Nick of Time,,"['Crime', 'Drama', 'Thriller']"
The Journey of August King,,['Drama']
Mary Reilly,,"['Drama', 'Horror', 'Thriller', 'Romance']"
Vampire in Brooklyn,,"['Comedy', 'Horror', 'Romance']"
Beautiful Girls,,"['Comedy', 'Drama', 'Romance']"
Broken Arrow,,"['Action', 'Adventure', 'Drama', 'Thriller']"
A Midwinter's Tale,,['Comedy']
La Haine,,['Drama']
Shopping,,"['Action', 'Adventure', 'Drama', 'Science Fiction', 'Thriller']"
Heidi Fleiss: Hollywood Madam,,['Documentary']
City Hall,,"['Drama', 'Thriller']"
Bottle Rocket,,"['Comedy', 'Crime', 'Drama']"
Mr. Wrong,,"['Comedy', 'Romance']"
Unforgettable,,"['Drama', 'Mystery', 'Science Fiction', 'Thriller']"
Happy Gilmore,,['Comedy']
The Bridges of Madison County,,"['Drama', 'Romance']"
Nobody Loves Me,,"['Drama', 'Comedy', 'Family']"
Muppet Treasure Island,The Muppet Collection,"['Action', 'Comedy', 'Music', 'Family', 'Adventure']"
Catwalk,,['Documentary']
Headless Body in Topless Bar,,['Crime']
Braveheart,,"['Action', 'Drama', 'History', 'War']"
Taxi Driver,,"['Crime', 'Drama']"
Rumble in the Bronx,,"['Crime', 'Action', 'Comedy', 'Thriller']"
Before and After,,"['Drama', 'Thriller']"
Margaret's Museum,,['Drama']
Happiness Is in the Field,,['Comedy']
Anne Frank Remembered,,"['Documentary', 'Drama', 'Foreign']"
The Young Poisoner's Handbook,,"['Comedy', 'Crime', 'Drama']"
If Lucy Fell,,"['Comedy', 'Romance']"
Steal Big Steal Little,,"['Comedy', 'Drama']"
Race the Sun,,"['Action', 'Adventure', 'Comedy', 'Drama', 'Family']"
The Boys of St. Vincent,,['Drama']
Boomerang,,"['Comedy', 'Romance']"
Chungking Express,,"['Drama', 'Comedy', 'Romance']"
The Star Maker,,"['Drama', 'Romance']"
Flirting with Disaster,,"['Comedy', 'Romance']"
The Neverending Story III: Escape from Fantasia,The Neverending Story Collection,['Fantasy']
The Silences of the Palace,,['Drama']
Jupiter's Wife,,[]
Pie in the Sky,,"['Comedy', 'Romance']"
Angela,,"['Comedy', 'Drama']"
Frankie Starlight,,"['Drama', 'Romance', 'War']"
Jade,,"['Action', 'Thriller', 'Mystery', 'Romance']"
Nueba Yol,,"['Comedy', 'Drama', 'Romance']"
Sonic Outlaws,,"['Music', 'Documentary']"
Down Periscope,,['Comedy']
From the Journals of Jean Seberg,,['Documentary']
Man of the Year,,['Comedy']
The Neon Bible,,['Drama']
Target,,[]
Up Close & Personal,,"['Drama', 'Romance']"
The Birdcage,,['Comedy']
Virgin Mary,,['Drama']
The Brothers McMullen,,"['Comedy', 'Drama', 'Romance']"
Bad Boys,Bad Boys Collection,"['Action', 'Comedy', 'Crime', 'Thriller']"
The Amazing Panda Adventure,,"['Action', 'Adventure', 'Drama', 'Family']"
The Basketball Diaries,,"['Drama', 'Crime']"
An Awfully Big Adventure,,"['Romance', 'Drama', 'Comedy']"
Amateur,,"['Crime', 'Comedy', 'Drama', 'Thriller']"
Apollo 13,,['Drama']
Rob Roy,,['Adventure']
The Addiction,,"['Drama', 'Horror']"
Batman Forever,Batman Collection,"['Action', 'Crime', 'Fantasy']"
Belle de Jour,,"['Drama', 'Romance']"
Beyond Rangoon,,"['Drama', 'Thriller']"
Blue in the Face,Brooklyn Cigar Store Collection,['Comedy']
Canadian Bacon,,"['Action', 'Comedy']"
Casper,Casper Collection,"['Fantasy', 'Comedy', 'Family']"
Clockers,,"['Mystery', 'Crime', 'Drama']"
Congo,,"['Action', 'Adventure', 'Drama', 'Mystery', 'Science Fiction', 'Thriller']"
Crimson Tide,,"['Action', 'Thriller', 'Drama']"
Crumb,,['Documentary']
Desperado,Mexico Trilogy,"['Thriller', 'Action', 'Crime']"
Devil in a Blue Dress,,"['Drama', 'Mystery', 'Thriller']"
Die Hard: With a Vengeance,Die Hard Collection,"['Action', 'Thriller']"
The Doom Generation,Teenage Apocalypse Trilogy,"['Action', 'Comedy', 'Crime', 'Drama']"
Feast of July,,"['Drama', 'Crime']"
First Knight,,"['Action', 'Adventure', 'Drama', 'Romance']"
Free Willy 2 - The Adventure Home,Free Willy Collection,['Adventure']
Hackers,,"['Action', 'Crime', 'Thriller', 'Drama']"
Jeffrey,,"['Comedy', 'Drama', 'Romance']"
Johnny Mnemonic,,"['Adventure', 'Action', 'Drama', 'Science Fiction', 'Thriller']"
Judge Dredd,,['Science Fiction']
Jury Duty,,"['Comedy', 'Drama']"
Kids,,"['Drama', 'Crime']"
Living in Oblivion,,"['Drama', 'Comedy']"
Lord of Illusions,,"['Mystery', 'Horror', 'Thriller']"
Love & Human Remains,,"['Comedy', 'Drama']"
Mad Love,,"['Drama', 'Family', 'Romance']"
Mallrats,,"['Romance', 'Comedy']"
Mighty Morphin Power Rangers: The Movie,Power Rangers Collection,"['Action', 'Adventure', 'Science Fiction', 'Family', 'Fantasy']"
Moonlight and Valentino,,"['Comedy', 'Drama', 'Romance']"
Mute Witness,,"['Thriller', 'Foreign']"
Nadja,,"['Horror', 'Thriller']"
The Net,Síť (kolekce),"['Crime', 'Drama', 'Mystery', 'Thriller', 'Action']"
Nine Months,,['Comedy']
Party Girl,,['Comedy']
The Prophecy,The Prophecy Collection,"['Fantasy', 'Horror', 'Thriller']"
Reckless,,"['Fantasy', 'Comedy', 'Drama']"
Safe,,['Drama']
The Scarlet Letter,,"['Drama', 'History', 'Romance']"
The Show,,['Documentary']
Showgirls,Showgirls Collection,['Drama']
Smoke,Brooklyn Cigar Store Collection,"['Comedy', 'Drama']"
Something to Talk About,,['Comedy']
Species,Species Collection,"['Science Fiction', 'Horror', 'Action']"
The Stars Fell on Henrietta,,['Drama']
Strange Days,,"['Crime', 'Drama', 'Science Fiction', 'Thriller']"
The Umbrellas of Cherbourg,,"['Drama', 'Romance']"
The Tie That Binds,,['Thriller']
Three Wishes,,"['Drama', 'Fantasy']"
Total Eclipse,,"['Drama', 'Romance']"
"To Wong Foo, Thanks for Everything! Julie Newmar",,['Comedy']
Under Siege 2: Dark Territory,Under Siege Collection,"['Action', 'Thriller']"
Unstrung Heroes,,"['Comedy', 'Drama', 'Family']"
Unzipped,,['Documentary']
A Walk in the Clouds,,"['Drama', 'Romance']"
Waterworld,,"['Adventure', 'Action']"
White Man's Burden,,['Drama']
Wild Bill,,"['Action', 'Western']"
The Browning Version,,['Drama']
Bushwhacked,,"['Adventure', 'Action', 'Comedy', 'Crime', 'Family']"
Burnt by the Sun,Burnt by the Sun Trilogy,['Drama']
Before the Rain,,"['Drama', 'War']"
Before Sunrise,Before... Collection,"['Drama', 'Romance']"
Billy Madison,,['Comedy']
The Babysitter,,"['Drama', 'Thriller']"
Boys on the Side,,"['Comedy', 'Drama']"
The Cure,,"['Drama', 'Family']"
Castle Freak,,"['Thriller', 'Drama', 'Horror', 'Mystery']"
Circle of Friends,,"['Drama', 'Family', 'Romance']"
Clerks,Clerks Collection,['Comedy']
Don Juan DeMarco,,"['Romance', 'Drama', 'Comedy']"
Disclosure,,"['Drama', 'Thriller', 'Crime', 'Mystery', 'Romance']"
Dream Man,,['Thriller']
Drop Zone,,"['Action', 'Adventure', 'Thriller']"
Destiny Turns on the Radio,,"['Crime', 'Comedy', 'Fantasy']"
Death and the Maiden,,"['Drama', 'Thriller', 'Mystery']"
Dolores Claiborne,,"['Crime', 'Drama', 'Mystery']"
Dumb and Dumber,Dumb and Dumber Collection,['Comedy']
Eat Drink Man Woman,,"['Comedy', 'Drama', 'Romance']"
Exotica,,"['Drama', 'Mystery']"
Exit to Eden,,"['Thriller', 'Comedy', 'Crime', 'Romance']"
Ed Wood,,"['Comedy', 'Drama', 'History']"
French Kiss,,"['Comedy', 'Romance']"
Forget Paris,,"['Comedy', 'Drama', 'Romance']"
Far from Home: The Adventures of Yellow Dog,,"['Action', 'Adventure', 'Drama', 'Family']"
A Goofy Movie,A Goofy Movie Collection,"['Romance', 'Animation', 'Family', 'Comedy', 'Adventure']"
Hideaway,,"['Drama', 'Thriller']"
Fluke,,"['Drama', 'Family', 'Fantasy']"
Farinelli,,"['History', 'Drama']"
Gordy,,"['Drama', 'Family', 'Fantasy']"
Gumby: The Movie,,"['Fantasy', 'Animation', 'Science Fiction', 'Family']"
The Glass Shield,,"['Drama', 'Action', 'Thriller', 'Crime']"
Hoop Dreams,,['Documentary']
Heavenly Creatures,,"['Drama', 'Fantasy']"
Houseguest,,"['Comedy', 'Family']"
Immortal Beloved,,"['Drama', 'Music', 'Romance']"
Heavyweights,,"['Comedy', 'Family', 'Drama']"
The Hunted,,"['Action', 'Thriller']"
I.Q.,,"['Comedy', 'Drama', 'Romance']"
Interview with the Vampire,The Vampire Chronicles,"['Horror', 'Romance']"
Jefferson in Paris,,"['Drama', 'Romance']"
The Jerky Boys,,"['Comedy', 'Crime']"
Junior,,"['Comedy', 'Family', 'Romance']"
Just Cause,,"['Action', 'Drama', 'Mystery', 'Thriller']"
A Kid in King Arthur's Court,,"['Adventure', 'Fantasy', 'Comedy', 'Science Fiction', 'Family']"
Kiss of Death,,"['Action', 'Crime', 'Drama', 'Thriller']"
Star Wars,Star Wars Collection,"['Adventure', 'Action', 'Science Fiction']"
Little Women,,"['Drama', 'Romance']"
A Little Princess,,"['Drama', 'Family', 'Fantasy']"
Ladybird Ladybird,,['Drama']
L'Enfer,,"['Crime', 'Drama']"
Like Water for Chocolate,,"['Drama', 'Romance']"
Legends of the Fall,,"['Adventure', 'Drama', 'Romance', 'War']"
Major Payne,,"['Adventure', 'Comedy', 'Family']"
Little Odessa,,"['Action', 'Drama']"
Mi Vida Loca,,"['Crime', 'Drama']"
Love Affair,,"['Drama', 'Romance']"
Losing Isaiah,,['Drama']
The Madness of King George,,"['Comedy', 'Drama', 'History']"
Mary Shelley's Frankenstein,,"['Drama', 'Horror', 'Science Fiction', 'Romance']"
Man of the House,,"['Action', 'Comedy', 'Family']"
Mixed Nuts,,"['Comedy', 'Drama', 'Romance']"
Milk Money,,"['Comedy', 'Romance']"
Miracle on 34th Street,,"['Fantasy', 'Drama', 'Family']"
Miami Rhapsody,,"['Comedy', 'Romance']"
My Family,,"['Comedy', 'Drama']"
Murder in the First,,"['Crime', 'Drama']"
Nobody's Fool,,"['Drama', 'Comedy']"
Nell,,"['Drama', 'Thriller']"
New Jersey Drive,,"['Crime', 'Drama']"
New York Cop,,"['Action', 'Thriller', 'Crime', 'Drama']"
Beyond Bedlam,,['Horror']
Nemesis 2 - Nebula,Nemesis Collection,"['Science Fiction', 'Action', 'Thriller']"
Nina Takes a Lover,,"['Drama', 'Romance']"
Natural Born Killers,,"['Crime', 'Thriller', 'Drama']"
Only You,,"['Comedy', 'Drama', 'Romance']"
Once Were Warriors,Once were Warriors Collection,['Drama']
Poison Ivy II: Lily,Poison Ivy Collection,"['Drama', 'Romance', 'Thriller']"
Outbreak,,"['Action', 'Drama', 'Science Fiction', 'Thriller']"
Leon: The Professional,,"['Thriller', 'Crime', 'Drama']"
The Perez Family,,"['Comedy', 'Drama', 'Romance']"
A Pyromaniac's Love Story,,"['Comedy', 'Drama', 'Romance']"
Pulp Fiction,,"['Thriller', 'Crime']"
Panther,,['Drama']
Pushing Hands,,"['Comedy', 'Drama']"
Priest,,"['Drama', 'Romance']"
Quiz Show,,"['History', 'Drama']"
Picture Bride,,"['Drama', 'History']"
Queen Margot,,"['Drama', 'History']"
The Quick and the Dead,,"['Action', 'Western']"
Roommates,,"['Drama', 'Comedy']"
Prêt-à-Porter,,"['Drama', 'Comedy']"
Three Colors: Red,Three Colors Collection,"['Drama', 'Mystery', 'Romance']"
Three Colors: Blue,Three Colors Collection,"['Drama', 'Music', 'Mystery']"
Three Colors: White,Three Colors Collection,"['Comedy', 'Drama', 'Mystery']"
"Red Firecracker, Green Firecracker",,['Drama']
Rent-a-Kid,,"['Comedy', 'Family', 'TV Movie']"
Relative Fear,,"['Horror', 'Drama']"
Stuart Saves His Family,,"['Comedy', 'Drama']"
The Swan Princess,Swan Princess Series,['Animation']
The Secret of Roan Inish,,"['Drama', 'Family', 'Fantasy']"
The Specialist,,"['Action', 'Thriller']"
Stargate,,"['Action', 'Adventure', 'Science Fiction']"
The Santa Clause,The Santa Clause Collection,"['Fantasy', 'Drama', 'Comedy', 'Family']"
The Shawshank Redemption,,"['Drama', 'Crime']"
Shallow Grave,,"['Crime', 'Thriller']"
Suture,,"['Drama', 'Thriller']"
Strawberry and Chocolate,,"['Comedy', 'Drama']"
Swimming with Sharks,,"['Crime', 'Comedy']"
The Sum of Us,,"['Comedy', 'Drama', 'Romance']"
Senior Trip,,['Comedy']
To Live,,"['Drama', 'Romance', 'War']"
Tank Girl,,"['Action', 'Comedy', 'Fantasy', 'Science Fiction']"
Tales from the Crypt: Demon Knight,Tales from the Crypt Collection,"['Horror', 'Comedy', 'Thriller']"
Star Trek: Generations,Star Trek: The Next Generation Collection,"['Science Fiction', 'Action', 'Adventure', 'Thriller']"
Tales from the Hood,,"['Crime', 'Horror', 'Thriller']"
Tom & Viv,,"['Drama', 'Romance']"
Village of the Damned,,"['Thriller', 'Horror', 'Science Fiction']"
Tommy Boy,,['Comedy']
Vanya on 42nd Street,,"['Drama', 'Romance']"
The Underneath,,"['Thriller', 'Crime']"
The Walking Dead,,"['Drama', 'War']"
What's Eating Gilbert Grape,,"['Romance', 'Drama']"
Virtuosity,,"['Action', 'Crime', 'Science Fiction', 'Thriller']"
While You Were Sleeping,,"['Comedy', 'Drama', 'Romance']"
The War,,['Drama']
Double Happiness,,"['Comedy', 'Romance']"
Muriel's Wedding,,"['Drama', 'Comedy', 'Romance']"
The Baby-Sitters Club,,"['Comedy', 'Drama', 'Family']"
Ace Ventura: Pet Detective,Ace Ventura Collection,"['Comedy', 'Mystery']"
"The Adventures of Priscilla, Queen of the Desert",,"['Drama', 'Comedy']"
Backbeat,,"['Drama', 'Music']"
Bitter Moon,,"['Thriller', 'Drama', 'Romance']"
Bullets Over Broadway,,"['Action', 'Comedy', 'Thriller']"
Clear and Present Danger,The Jack Ryan Collection,"['Action', 'Drama', 'Thriller']"
The Client,,"['Drama', 'Thriller', 'Crime', 'Mystery']"
"Corrina, Corrina",,"['Comedy', 'Drama', 'Family', 'Romance']"
Crooklyn,,"['Comedy', 'Drama']"
The Crow,The Crow Collection,"['Fantasy', 'Action', 'Thriller']"
Cobb,,['Drama']
The Flintstones,The Flintstones (Live-Action) Collection,"['Fantasy', 'Comedy', 'Family']"
Forrest Gump,,"['Comedy', 'Drama', 'Romance']"
Four Weddings and a Funeral,,"['Comedy', 'Drama', 'Romance']"
Higher Learning,,"['Romance', 'Drama', 'Crime']"
I Like It Like That,,"['Comedy', 'Drama', 'Romance']"
I Love Trouble,,"['Action', 'Comedy', 'Romance']"
It Could Happen to You,,"['Comedy', 'Drama', 'Romance']"
The Jungle Book,,"['Adventure', 'Drama', 'Family']"
"The Wonderful, Horrible Life of Leni Riefenstahl",,"['Documentary', 'Foreign']"
The Lion King,The Lion King Collection,"['Family', 'Animation', 'Drama']"
Little Buddha,,"['Drama', 'History']"
New Nightmare,A Nightmare on Elm Street Collection,"['Horror', 'Thriller', 'Mystery', 'Fantasy']"
The Mask,The Mask Collection,"['Romance', 'Comedy', 'Crime', 'Fantasy']"
Maverick,,"['Action', 'Adventure', 'Comedy', 'Drama', 'Western']"
Mrs. Parker and the Vicious Circle,,['Drama']
The Naked Gun 33⅓: The Final Insult,Naked Gun Collection,"['Comedy', 'Crime']"
The Paper,,"['Comedy', 'Drama']"
Reality Bites,,['Drama']
Red Rock West,,"['Crime', 'Drama', 'Thriller']"
Ri¢hie Ri¢h,Richie Rich Collection,"['Comedy', 'Family']"
Safe Passage,,['Drama']
The River Wild,,"['Action', 'Adventure', 'Crime', 'Thriller']"
Speed,Speed Collection,"['Action', 'Adventure', 'Crime']"
Speechless,,"['Comedy', 'Romance']"
Timecop,Timecop Collection,"['Thriller', 'Science Fiction', 'Action', 'Crime']"
True Lies,,"['Action', 'Thriller']"
When a Man Loves a Woman,,"['Drama', 'Romance']"
Wolf,,['Fantasy']
Wyatt Earp,,"['Drama', 'Action', 'Western']"
Bad Company,,"['Action', 'Crime', 'Romance', 'Thriller']"
A Man of No Importance,,"['Comedy', 'Drama']"
S.F.W.,,"['Comedy', 'Drama']"
A Low Down Dirty Shame,,"['Action', 'Comedy', 'Crime']"
"Boys Life: Three Stories of Love, Lust, and Liberation",,['Drama']
Colonel Chabert,,['Drama']
"Faster, Pussycat! Kill! Kill!",,"['Action', 'Crime']"
Jason's Lyric,,"['Crime', 'Drama', 'Romance']"
The Secret Adventures of Tom Thumb,,"['Animation', 'Science Fiction']"
Street Fighter,Street Fighter,"['Action', 'Adventure', 'Thriller']"
Coldblooded,,"['Action', 'Comedy']"
Desert Winds,,[]
Fall Time,,"['Action', 'Adventure', 'Crime', 'Drama', 'Thriller']"
The Fear,Fear Collection,"['Horror', 'Thriller']"
Frank and Ollie,,['Documentary']
Girl in the Cadillac,,"['Romance', 'Adventure', 'Crime', 'Drama']"
Homage,,"['Thriller', 'Drama']"
Mirage,,"['Action', 'Thriller']"
Open Season,,['Comedy']
Dos Crímenes,,[]
Brother Minister: The Assassination of Malcolm X,,['Documentary']
Highlander: The Final Dimension,Highlander Collection,"['Action', 'Fantasy', 'Science Fiction']"
Federal Hill,,[]
In the Mouth of Madness,,"['Horror', 'Mystery', 'Thriller']"
8 Seconds,,"['Drama', 'Romance']"
Above the Rim,,"['Crime', 'Drama']"
Addams Family Values,Addams Family Collection,"['Comedy', 'Family', 'Fantasy']"
Martin Lawrence: You So Crazy,,['Comedy']
The Age of Innocence,,"['Drama', 'Romance']"
Airheads,,"['Comedy', 'Crime', 'Music']"
The Air Up There,,"['Comedy', 'Family']"
Another Stakeout,Stakeout Collection,"['Action', 'Comedy']"
Bad Girls,,"['Action', 'Adventure', 'Comedy', 'Drama', 'Western']"
Barcelona,,"['Comedy', 'Drama', 'Romance']"
Being Human,,"['Drama', 'Comedy', 'Fantasy']"
The Beverly Hillbillies,,['Comedy']
Beverly Hills Cop III,Beverly Hills Cop Collection,"['Action', 'Comedy', 'Crime']"
Black Beauty,,"['Action', 'Adventure', 'Drama', 'Family']"
Blink,,"['Mystery', 'Crime', 'Drama', 'Thriller']"
Blown Away,,"['Drama', 'Action', 'Thriller']"
Blue Chips,,['Drama']
Blue Sky,,"['Drama', 'Romance']"
Body Snatchers,,"['Horror', 'Science Fiction', 'Thriller']"
Boxing Helena,,"['Drama', 'Romance']"
A Bronx Tale,,"['Drama', 'Crime']"
Cabin Boy,,['Comedy']
Calendar Girl,,"['Drama', 'Comedy']"
Carlito's Way,,"['Action', 'Crime', 'Drama', 'Thriller']"
City Slickers II: The Legend of Curly's Gold,City Slickers Collection,"['Action', 'Comedy', 'Drama', 'Western']"
Clean Slate,,"['Comedy', 'Thriller', 'Mystery']"
Cliffhanger,,"['Action', 'Adventure', 'Thriller']"
Coneheads,,"['Comedy', 'Science Fiction', 'Family']"
Color of Night,,"['Drama', 'Mystery', 'Romance', 'Thriller']"
Cops & Robbersons,,"['Action', 'Comedy', 'Family']"
The Cowboy Way,,"['Western', 'Action', 'Comedy']"
Dangerous Game,,['Drama']
Dave,,['Comedy']
Dazed and Confused,,"['Comedy', 'Drama']"
Demolition Man,,"['Crime', 'Action', 'Science Fiction']"
The Endless Summer 2,The Endless Summer Collection,['Documentary']
Even Cowgirls Get the Blues,,"['Western', 'Drama', 'Comedy', 'Romance']"
Fatal Instinct,,['Comedy']
Farewell My Concubine,,['Drama']
The Favor,,"['Drama', 'Comedy', 'Romance']"
Fearless,,['Drama']
Fear of a Black Hat,,['Comedy']
With Honors,,"['Comedy', 'Drama']"
Flesh and Bone,,"['Drama', 'Mystery', 'Romance']"
Widows' Peak,,"['Comedy', 'Thriller', 'Mystery', 'Romance', 'Foreign']"
For Love or Money,,"['Comedy', 'Romance']"
The Firm,,"['Drama', 'Mystery', 'Thriller']"
Free Willy,Free Willy Collection,"['Family', 'Adventure']"
Fresh,,"['Crime', 'Drama', 'Thriller']"
The Fugitive,The Fugitive / U.S. Marshals Collection,"['Adventure', 'Action', 'Thriller', 'Crime', 'Mystery']"
Geronimo: An American Legend,,"['History', 'Action', 'Drama', 'Western']"
The Getaway,,"['Drama', 'Action', 'Thriller']"
Getting Even with Dad,,"['Family', 'Comedy', 'Crime']"
Go Fish,,"['Drama', 'Romance']"
A Good Man in Africa,,"['Comedy', 'Drama']"
Guilty as Sin,,"['Drama', 'Thriller']"
Hard Target,Hard Target Collection,"['Action', 'Adventure', 'Crime', 'Thriller']"
Heaven & Earth,,"['History', 'War', 'Action', 'Drama']"
Hot Shots! Part Deux,Hot Shots! Collection,"['Action', 'Comedy', 'War']"
Live Nude Girls,,['Comedy']
The Englishman Who Went Up a Hill But Came Down a Mountain,,"['Drama', 'Comedy', 'Romance']"
The House of the Spirits,,"['Romance', 'Drama']"
House Party 3,House Party Collection,['Comedy']
The Hudsucker Proxy,,"['Comedy', 'Drama']"
I'll Do Anything,,"['Comedy', 'Drama']"
In the Army Now,,['Comedy']
In the Line of Fire,,"['Action', 'Drama', 'Thriller', 'Crime', 'Mystery']"
In the Name of the Father,,['Drama']
The Inkwell,,"['Comedy', 'Drama', 'Romance']"
What's Love Got to Do with It,,"['Drama', 'Music']"
Jimmy Hollywood,,['Comedy']
Judgment Night,,"['Action', 'Thriller', 'Crime']"
Jurassic Park,Jurassic Park Collection,"['Adventure', 'Science Fiction']"
Kalifornia,,"['Thriller', 'Crime']"
Killing Zoe,,"['Action', 'Crime', 'Drama', 'Thriller']"
King of the Hill,,['Drama']
Lassie,,"['Action', 'Adventure', 'Drama', 'Family']"
Last Action Hero,,"['Adventure', 'Fantasy', 'Action', 'Comedy', 'Family']"
Life With Mikey,,"['Comedy', 'Family']"
Lightning Jack,,"['Action', 'Comedy', 'Western']"
M. Butterfly,,"['Drama', 'Romance']"
Made in America,,['Comedy']
Malice,,"['Drama', 'Crime']"
The Man without a Face,,['Drama']
Manhattan Murder Mystery,,"['Comedy', 'Mystery']"
Menace II Society,,"['Drama', 'Action', 'Crime']"
Executive Decision,,"['Action', 'Adventure', 'Drama', 'Thriller']"
In the Realm of the Senses,,"['Drama', 'Romance']"
What Happened Was...,,"['Thriller', 'Comedy', 'Drama', 'Romance']"
Much Ado About Nothing,,"['Drama', 'Comedy', 'Romance']"
Mr. Jones,,"['Drama', 'Romance']"
Mr. Wonderful,,"['Comedy', 'Romance']"
Mrs. Doubtfire,,"['Comedy', 'Drama', 'Family']"
Naked,,"['Comedy', 'Drama']"
The Next Karate Kid,The Karate Kid Collection,['Adventure']
The New Age,,"['Comedy', 'Drama']"
No Escape,,"['Action', 'Drama', 'Science Fiction', 'Thriller']"
North,,"['Comedy', 'Drama', 'Family', 'Fantasy', 'Science Fiction']"
Orlando,,"['Romance', 'Drama', 'Fantasy']"
