id,title,franquicia,genres
9089,Home for the Holidays,,"['Comedy', 'Drama', 'Romance']"
11010,The Postman,,"['Comedy', 'Drama', 'Romance']"
99040,The Confessional,,"['Thriller', 'Drama', 'Mystery']"
11359,The Indian in the Cupboard,,"['Adventure', 'Family', 'Fantasy']"
17182,Eye for an Eye,,"['Drama', 'Thriller']"
2054,Mr. Holland's Opus,,"['Music', 'Drama', 'Family']"
10607,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,,['Comedy']
19760,Two If by Sea,,"['Comedy', 'Romance']"
9536,Bio-Dome,,['Comedy']
11525,Lawnmower Man 2: Beyond Cyberspace,The Lawnmower Man Collection,"['Action', 'Science Fiction']"
40628,Two Bits,,"['Drama', 'Family']"
4482,French Twist,,"['Comedy', 'Romance']"
10634,Friday,Friday Collection,['Comedy']
755,From Dusk Till Dawn,From Dusk Till Dawn Collection,"['Horror', 'Action', 'Thriller', 'Crime']"
11859,Fair Game,,"['Action', 'Thriller', 'Romance']"
28387,Kicking and Screaming,,"['Comedy', 'Drama', 'Romance']"
48750,Les Miserables,,"['Drama', 'History']"
20927,Bed of Roses,,"['Drama', 'Romance']"
36929,Big Bully,,"['Comedy', 'Family']"
9102,Screamers,Screamers Collection,"['Horror', 'Science Fiction']"
124626,Nico Icon,,['Documentary']
27526,The Crossing Guard,,"['Drama', 'Thriller']"
9623,The Juror,,"['Drama', 'Thriller']"
46785,The White Balloon,,"['Family', 'Drama']"
400,Things to Do in Denver When You're Dead,,"['Drama', 'Crime']"
880,Antonia's Line,,"['Drama', 'Comedy']"
146599,Once Upon a Time... When We Were Colored,,"['Romance', 'Drama']"
188588,Last Summer in the Hamptons,,[]
8447,Angels and Insects,,"['Drama', 'Romance']"
10534,White Squall,,"['Action', 'Drama']"
17414,Dunston Checks In,,"['Adventure', 'Comedy', 'Family']"
13997,Black Sheep,,['Comedy']
2086,Nick of Time,,"['Crime', 'Drama', 'Thriller']"
61548,The Journey of August King,,['Drama']
9095,Mary Reilly,,"['Drama', 'Horror', 'Thriller', 'Romance']"
12158,Vampire in Brooklyn,,"['Comedy', 'Horror', 'Romance']"
9283,Beautiful Girls,,"['Comedy', 'Drama', 'Romance']"
9208,Broken Arrow,,"['Action', 'Adventure', 'Drama', 'Thriller']"
40154,A Midwinter's Tale,,['Comedy']
406,La Haine,,['Drama']
45549,Shopping,,"['Action', 'Adventure', 'Drama', 'Science Fiction', 'Thriller']"
63076,Heidi Fleiss: Hollywood Madam,,['Documentary']
11062,City Hall,,"['Drama', 'Thriller']"
13685,Bottle Rocket,,"['Comedy', 'Crime', 'Drama']"
47475,Mr. Wrong,,"['Comedy', 'Romance']"
2045,Unforgettable,,"['Drama', 'Mystery', 'Science Fiction', 'Thriller']"
9614,Happy Gilmore,,['Comedy']
688,The Bridges of Madison County,,"['Drama', 'Romance']"
11907,Nobody Loves Me,,"['Drama', 'Comedy', 'Family']"
10874,Muppet Treasure Island,The Muppet Collection,"['Action', 'Comedy', 'Music', 'Family', 'Adventure']"
89333,Catwalk,,['Documentary']
96357,Headless Body in Topless Bar,,['Crime']
197,Braveheart,,"['Action', 'Drama', 'History', 'War']"
103,Taxi Driver,,"['Crime', 'Drama']"
33542,Rumble in the Bronx,,"['Crime', 'Action', 'Comedy', 'Thriller']"
43566,Before and After,,"['Drama', 'Thriller']"
71754,Margaret's Museum,,['Drama']
43612,Happiness Is in the Field,,['Comedy']
51352,Anne Frank Remembered,,"['Documentary', 'Drama', 'Foreign']"
16934,The Young Poisoner's Handbook,,"['Comedy', 'Crime', 'Drama']"
10324,If Lucy Fell,,"['Comedy', 'Romance']"
78406,Steal Big Steal Little,,"['Comedy', 'Drama']"
55731,Race the Sun,,"['Action', 'Adventure', 'Comedy', 'Drama', 'Family']"
32119,The Boys of St. Vincent,,['Drama']
11066,Boomerang,,"['Comedy', 'Romance']"
11104,Chungking Express,,"['Drama', 'Comedy', 'Romance']"
37975,The Star Maker,,"['Drama', 'Romance']"
2074,Flirting with Disaster,,"['Comedy', 'Romance']"
27793,The Neverending Story III: Escape from Fantasia,The Neverending Story Collection,['Fantasy']
44284,The Silences of the Palace,,['Drama']
290157,Jupiter's Wife,,[]
110972,Pie in the Sky,,"['Comedy', 'Romance']"
32622,Angela,,"['Comedy', 'Drama']"
73067,Frankie Starlight,,"['Drama', 'Romance', 'War']"
11863,Jade,,"['Action', 'Thriller', 'Mystery', 'Romance']"
55475,Nueba Yol,,"['Comedy', 'Drama', 'Romance']"
124636,Sonic Outlaws,,"['Music', 'Documentary']"
9101,Down Periscope,,['Comedy']
123360,From the Journals of Jean Seberg,,['Documentary']
5757,Man of the Year,,['Comedy']
39428,The Neon Bible,,['Drama']
124639,Target,,[]
9302,Up Close & Personal,,"['Drama', 'Romance']"
11000,The Birdcage,,['Comedy']
249882,Virgin Mary,,['Drama']
16388,The Brothers McMullen,,"['Comedy', 'Drama', 'Romance']"
9737,Bad Boys,Bad Boys Collection,"['Action', 'Comedy', 'Crime', 'Thriller']"
30765,The Amazing Panda Adventure,,"['Action', 'Adventure', 'Drama', 'Family']"
10474,The Basketball Diaries,,"['Drama', 'Crime']"
22279,An Awfully Big Adventure,,"['Romance', 'Drama', 'Comedy']"
30157,Amateur,,"['Crime', 'Comedy', 'Drama', 'Thriller']"
568,Apollo 13,,['Drama']
11780,Rob Roy,,['Adventure']
34996,The Addiction,,"['Drama', 'Horror']"
414,Batman Forever,Batman Collection,"['Action', 'Crime', 'Fantasy']"
649,Belle de Jour,,"['Drama', 'Romance']"
1873,Beyond Rangoon,,"['Drama', 'Thriller']"
5894,Blue in the Face,Brooklyn Cigar Store Collection,['Comedy']
1775,Canadian Bacon,,"['Action', 'Comedy']"
8839,Casper,Casper Collection,"['Fantasy', 'Comedy', 'Family']"
20649,Clockers,,"['Mystery', 'Crime', 'Drama']"
10329,Congo,,"['Action', 'Adventure', 'Drama', 'Mystery', 'Science Fiction', 'Thriller']"
8963,Crimson Tide,,"['Action', 'Thriller', 'Drama']"
26564,Crumb,,['Documentary']
8068,Desperado,Mexico Trilogy,"['Thriller', 'Action', 'Crime']"
8512,Devil in a Blue Dress,,"['Drama', 'Mystery', 'Thriller']"
1572,Die Hard: With a Vengeance,Die Hard Collection,"['Action', 'Thriller']"
13552,The Doom Generation,Teenage Apocalypse Trilogy,"['Action', 'Comedy', 'Crime', 'Drama']"
259209,Feast of July,,"['Drama', 'Crime']"
6520,First Knight,,"['Action', 'Adventure', 'Drama', 'Romance']"
9073,Free Willy 2 - The Adventure Home,Free Willy Collection,['Adventure']
10428,Hackers,,"['Action', 'Crime', 'Thriller', 'Drama']"
17447,Jeffrey,,"['Comedy', 'Drama', 'Romance']"
9886,Johnny Mnemonic,,"['Adventure', 'Action', 'Drama', 'Science Fiction', 'Thriller']"
9482,Judge Dredd,,['Science Fiction']
19326,Jury Duty,,"['Comedy', 'Drama']"
9344,Kids,,"['Drama', 'Crime']"
9071,Living in Oblivion,,"['Drama', 'Comedy']"
8973,Lord of Illusions,,"['Mystery', 'Horror', 'Thriller']"
15730,Love & Human Remains,,"['Comedy', 'Drama']"
47608,Mad Love,,"['Drama', 'Family', 'Romance']"
2293,Mallrats,,"['Romance', 'Comedy']"
9070,Mighty Morphin Power Rangers: The Movie,Power Rangers Collection,"['Action', 'Adventure', 'Science Fiction', 'Family', 'Fantasy']"
68274,Moonlight and Valentino,,"['Comedy', 'Drama', 'Romance']"
48787,Mute Witness,,"['Thriller', 'Foreign']"
34574,Nadja,,"['Horror', 'Thriller']"
1642,The Net,Síť (kolekce),"['Crime', 'Drama', 'Mystery', 'Thriller', 'Action']"
11472,Nine Months,,['Comedy']
36196,Party Girl,,['Comedy']
11980,The Prophecy,The Prophecy Collection,"['Fantasy', 'Horror', 'Thriller']"
58372,Reckless,,"['Fantasy', 'Comedy', 'Drama']"
32646,Safe,,['Drama']
10533,The Scarlet Letter,,"['Drama', 'History', 'Romance']"
56088,The Show,,['Documentary']
10802,Showgirls,Showgirls Collection,['Drama']
10149,Smoke,Brooklyn Cigar Store Collection,"['Comedy', 'Drama']"
18402,Something to Talk About,,['Comedy']
9348,Species,Species Collection,"['Science Fiction', 'Horror', 'Action']"
139408,The Stars Fell on Henrietta,,['Drama']
281,Strange Days,,"['Crime', 'Drama', 'Science Fiction', 'Thriller']"
5967,The Umbrellas of Cherbourg,,"['Drama', 'Romance']"
79593,The Tie That Binds,,['Thriller']
47939,Three Wishes,,"['Drama', 'Fantasy']"
36834,Total Eclipse,,"['Drama', 'Romance']"
9090,"To Wong Foo, Thanks for Everything! Julie Newmar",,['Comedy']
3512,Under Siege 2: Dark Territory,Under Siege Collection,"['Action', 'Thriller']"
52856,Unstrung Heroes,,"['Comedy', 'Drama', 'Family']"
77350,Unzipped,,['Documentary']
9560,A Walk in the Clouds,,"['Drama', 'Romance']"
9804,Waterworld,,"['Adventure', 'Action']"
31611,White Man's Burden,,['Drama']
65796,Wild Bill,,"['Action', 'Western']"
49805,The Browning Version,,['Drama']
26258,Bushwhacked,,"['Adventure', 'Action', 'Comedy', 'Crime', 'Family']"
50797,Burnt by the Sun,Burnt by the Sun Trilogy,['Drama']
19155,Before the Rain,,"['Drama', 'War']"
76,Before Sunrise,Before... Collection,"['Drama', 'Romance']"
11017,Billy Madison,,['Comedy']
37141,The Babysitter,,"['Drama', 'Thriller']"
9382,Boys on the Side,,"['Comedy', 'Drama']"
6715,The Cure,,"['Drama', 'Family']"
18256,Castle Freak,,"['Thriller', 'Drama', 'Horror', 'Mystery']"
22625,Circle of Friends,,"['Drama', 'Family', 'Romance']"
2292,Clerks,Clerks Collection,['Comedy']
1909,Don Juan DeMarco,,"['Romance', 'Drama', 'Comedy']"
8984,Disclosure,,"['Drama', 'Thriller', 'Crime', 'Mystery', 'Romance']"
61813,Dream Man,,['Thriller']
4954,Drop Zone,,"['Action', 'Adventure', 'Thriller']"
62488,Destiny Turns on the Radio,,"['Crime', 'Comedy', 'Fantasy']"
10531,Death and the Maiden,,"['Drama', 'Thriller', 'Mystery']"
11929,Dolores Claiborne,,"['Crime', 'Drama', 'Mystery']"
8467,Dumb and Dumber,Dumb and Dumber Collection,['Comedy']
10451,Eat Drink Man Woman,,"['Comedy', 'Drama', 'Romance']"
20156,Exotica,,"['Drama', 'Mystery']"
18395,Exit to Eden,,"['Thriller', 'Comedy', 'Crime', 'Romance']"
522,Ed Wood,,"['Comedy', 'Drama', 'History']"
397,French Kiss,,"['Comedy', 'Romance']"
10525,Forget Paris,,"['Comedy', 'Drama', 'Romance']"
27985,Far from Home: The Adventures of Yellow Dog,,"['Action', 'Adventure', 'Drama', 'Family']"
15789,A Goofy Movie,A Goofy Movie Collection,"['Romance', 'Animation', 'Family', 'Comedy', 'Adventure']"
27303,Hideaway,,"['Drama', 'Thriller']"
21183,Fluke,,"['Drama', 'Family', 'Fantasy']"
10954,Farinelli,,"['History', 'Drama']"
47867,Gordy,,"['Drama', 'Family', 'Fantasy']"
43475,Gumby: The Movie,,"['Fantasy', 'Animation', 'Science Fiction', 'Family']"
72031,The Glass Shield,,"['Drama', 'Action', 'Thriller', 'Crime']"
14275,Hoop Dreams,,['Documentary']
1024,Heavenly Creatures,,"['Drama', 'Fantasy']"
17207,Houseguest,,"['Comedy', 'Family']"
13701,Immortal Beloved,,"['Drama', 'Music', 'Romance']"
14819,Heavyweights,,"['Comedy', 'Family', 'Drama']"
32631,The Hunted,,"['Action', 'Thriller']"
11777,I.Q.,,"['Comedy', 'Drama', 'Romance']"
628,Interview with the Vampire,The Vampire Chronicles,"['Horror', 'Romance']"
87729,Jefferson in Paris,,"['Drama', 'Romance']"
18713,The Jerky Boys,,"['Comedy', 'Crime']"
6280,Junior,,"['Comedy', 'Family', 'Romance']"
9061,Just Cause,,"['Action', 'Drama', 'Mystery', 'Thriller']"
37108,A Kid in King Arthur's Court,,"['Adventure', 'Fantasy', 'Comedy', 'Science Fiction', 'Family']"
6071,Kiss of Death,,"['Action', 'Crime', 'Drama', 'Thriller']"
11,Star Wars,Star Wars Collection,"['Adventure', 'Action', 'Science Fiction']"
9587,Little Women,,"['Drama', 'Romance']"
19101,A Little Princess,,"['Drama', 'Family', 'Fantasy']"
49980,Ladybird Ladybird,,['Drama']
17961,L'Enfer,,"['Crime', 'Drama']"
18183,Like Water for Chocolate,,"['Drama', 'Romance']"
4476,Legends of the Fall,,"['Adventure', 'Drama', 'Romance', 'War']"
11008,Major Payne,,"['Adventure', 'Comedy', 'Family']"
47504,Little Odessa,,"['Action', 'Drama']"
32325,Mi Vida Loca,,"['Crime', 'Drama']"
43742,Love Affair,,"['Drama', 'Romance']"
28313,Losing Isaiah,,['Drama']
11318,The Madness of King George,,"['Comedy', 'Drama', 'History']"
3036,Mary Shelley's Frankenstein,,"['Drama', 'Horror', 'Science Fiction', 'Romance']"
40490,Man of the House,,"['Action', 'Comedy', 'Family']"
24070,Mixed Nuts,,"['Comedy', 'Drama', 'Romance']"
8986,Milk Money,,"['Comedy', 'Romance']"
10510,Miracle on 34th Street,,"['Fantasy', 'Drama', 'Family']"
17402,Miami Rhapsody,,"['Comedy', 'Romance']"
38722,My Family,,"['Comedy', 'Drama']"
8438,Murder in the First,,"['Crime', 'Drama']"
11593,Nobody's Fool,,"['Drama', 'Comedy']"
1945,Nell,,"['Drama', 'Thriller']"
39310,New Jersey Drive,,"['Crime', 'Drama']"
109560,New York Cop,,"['Action', 'Thriller', 'Crime', 'Drama']"
56428,Beyond Bedlam,,['Horror']
63105,Nemesis 2 - Nebula,Nemesis Collection,"['Science Fiction', 'Action', 'Thriller']"
131957,Nina Takes a Lover,,"['Drama', 'Romance']"
241,Natural Born Killers,,"['Crime', 'Thriller', 'Drama']"
9058,Only You,,"['Comedy', 'Drama', 'Romance']"
527,Once Were Warriors,Once were Warriors Collection,['Drama']
18220,Poison Ivy II: Lily,Poison Ivy Collection,"['Drama', 'Romance', 'Thriller']"
6950,Outbreak,,"['Action', 'Drama', 'Science Fiction', 'Thriller']"
101,Leon: The Professional,,"['Thriller', 'Crime', 'Drama']"
63020,The Perez Family,,"['Comedy', 'Drama', 'Romance']"
2307,A Pyromaniac's Love Story,,"['Comedy', 'Drama', 'Romance']"
680,Pulp Fiction,,"['Thriller', 'Crime']"
41478,Panther,,['Drama']
25296,Pushing Hands,,"['Comedy', 'Drama']"
40156,Priest,,"['Drama', 'Romance']"
11450,Quiz Show,,"['History', 'Drama']"
30304,Picture Bride,,"['Drama', 'History']"
10452,Queen Margot,,"['Drama', 'History']"
12106,The Quick and the Dead,,"['Action', 'Western']"
161495,Roommates,,"['Drama', 'Comedy']"
3586,Prêt-à-Porter,,"['Drama', 'Comedy']"
110,Three Colors: Red,Three Colors Collection,"['Drama', 'Mystery', 'Romance']"
108,Three Colors: Blue,Three Colors Collection,"['Drama', 'Music', 'Mystery']"
109,Three Colors: White,Three Colors Collection,"['Comedy', 'Drama', 'Mystery']"
159185,"Red Firecracker, Green Firecracker",,['Drama']
36357,Rent-a-Kid,,"['Comedy', 'Family', 'TV Movie']"
92769,Relative Fear,,"['Horror', 'Drama']"
28033,Stuart Saves His Family,,"['Comedy', 'Drama']"
22586,The Swan Princess,Swan Princess Series,['Animation']
14334,The Secret of Roan Inish,,"['Drama', 'Family', 'Fantasy']"
2636,The Specialist,,"['Action', 'Thriller']"
2164,Stargate,,"['Action', 'Adventure', 'Science Fiction']"
11395,The Santa Clause,The Santa Clause Collection,"['Fantasy', 'Drama', 'Comedy', 'Family']"
278,The Shawshank Redemption,,"['Drama', 'Crime']"
9905,Shallow Grave,,"['Crime', 'Thriller']"
87078,Suture,,"['Drama', 'Thriller']"
12527,Strawberry and Chocolate,,"['Comedy', 'Drama']"
20306,Swimming with Sharks,,"['Crime', 'Comedy']"
36614,The Sum of Us,,"['Comedy', 'Drama', 'Romance']"
27993,Senior Trip,,['Comedy']
31439,To Live,,"['Drama', 'Romance', 'War']"
9067,Tank Girl,,"['Action', 'Comedy', 'Fantasy', 'Science Fiction']"
9059,Tales from the Crypt: Demon Knight,Tales from the Crypt Collection,"['Horror', 'Comedy', 'Thriller']"
193,Star Trek: Generations,Star Trek: The Next Generation Collection,"['Science Fiction', 'Action', 'Adventure', 'Thriller']"
25066,Tales from the Hood,,"['Crime', 'Horror', 'Thriller']"
46797,Tom & Viv,,"['Drama', 'Romance']"
12122,Village of the Damned,,"['Thriller', 'Horror', 'Science Fiction']"
11381,Tommy Boy,,['Comedy']
32636,Vanya on 42nd Street,,"['Drama', 'Romance']"
36141,The Underneath,,"['Thriller', 'Crime']"
95963,The Walking Dead,,"['Drama', 'War']"
1587,What's Eating Gilbert Grape,,"['Romance', 'Drama']"
9271,Virtuosity,,"['Action', 'Crime', 'Science Fiction', 'Thriller']"
2064,While You Were Sleeping,,"['Comedy', 'Drama', 'Romance']"
19855,The War,,['Drama']
60855,Double Happiness,,"['Comedy', 'Romance']"
236,Muriel's Wedding,,"['Drama', 'Comedy', 'Romance']"
48287,The Baby-Sitters Club,,"['Comedy', 'Drama', 'Family']"
3049,Ace Ventura: Pet Detective,Ace Ventura Collection,"['Comedy', 'Mystery']"
2759,"The Adventures of Priscilla, Queen of the Desert",,"['Drama', 'Comedy']"
12635,Backbeat,,"['Drama', 'Music']"
10497,Bitter Moon,,"['Thriller', 'Drama', 'Romance']"
11382,Bullets Over Broadway,,"['Action', 'Comedy', 'Thriller']"
9331,Clear and Present Danger,The Jack Ryan Collection,"['Action', 'Drama', 'Thriller']"
10731,The Client,,"['Drama', 'Thriller', 'Crime', 'Mystery']"
10464,"Corrina, Corrina",,"['Comedy', 'Drama', 'Family', 'Romance']"
34152,Crooklyn,,"['Comedy', 'Drama']"
9495,The Crow,The Crow Collection,"['Fantasy', 'Action', 'Thriller']"
29973,Cobb,,['Drama']
888,The Flintstones,The Flintstones (Live-Action) Collection,"['Fantasy', 'Comedy', 'Family']"
13,Forrest Gump,,"['Comedy', 'Drama', 'Romance']"
712,Four Weddings and a Funeral,,"['Comedy', 'Drama', 'Romance']"
16295,Higher Learning,,"['Romance', 'Drama', 'Crime']"
48992,I Like It Like That,,"['Comedy', 'Drama', 'Romance']"
10879,I Love Trouble,,"['Action', 'Comedy', 'Romance']"
10660,It Could Happen to You,,"['Comedy', 'Drama', 'Romance']"
10714,The Jungle Book,,"['Adventure', 'Drama', 'Family']"
41647,"The Wonderful, Horrible Life of Leni Riefenstahl",,"['Documentary', 'Foreign']"
8587,The Lion King,The Lion King Collection,"['Family', 'Animation', 'Drama']"
1689,Little Buddha,,"['Drama', 'History']"
11596,New Nightmare,A Nightmare on Elm Street Collection,"['Horror', 'Thriller', 'Mystery', 'Fantasy']"
854,The Mask,The Mask Collection,"['Romance', 'Comedy', 'Crime', 'Fantasy']"
9359,Maverick,,"['Action', 'Adventure', 'Comedy', 'Drama', 'Western']"
23333,Mrs. Parker and the Vicious Circle,,['Drama']
36593,The Naked Gun 33⅓: The Final Insult,Naked Gun Collection,"['Comedy', 'Crime']"
12280,The Paper,,"['Comedy', 'Drama']"
2788,Reality Bites,,['Drama']
10427,Red Rock West,,"['Crime', 'Drama', 'Thriller']"
11011,Ri¢hie Ri¢h,Richie Rich Collection,"['Comedy', 'Family']"
49803,Safe Passage,,['Drama']
8987,The River Wild,,"['Action', 'Adventure', 'Crime', 'Thriller']"
1637,Speed,Speed Collection,"['Action', 'Adventure', 'Crime']"
15128,Speechless,,"['Comedy', 'Romance']"
8831,Timecop,Timecop Collection,"['Thriller', 'Science Fiction', 'Action', 'Crime']"
36955,True Lies,,"['Action', 'Thriller']"
10449,When a Man Loves a Woman,,"['Drama', 'Romance']"
10395,Wolf,,['Fantasy']
12160,Wyatt Earp,,"['Drama', 'Action', 'Western']"
40480,Bad Company,,"['Action', 'Crime', 'Romance', 'Thriller']"
52038,A Man of No Importance,,"['Comedy', 'Drama']"
29444,S.F.W.,,"['Comedy', 'Drama']"
26352,A Low Down Dirty Shame,,"['Action', 'Comedy', 'Crime']"
39953,"Boys Life: Three Stories of Love, Lust, and Liberation",,['Drama']
41580,Colonel Chabert,,['Drama']
315,"Faster, Pussycat! Kill! Kill!",,"['Action', 'Crime']"
22067,Jason's Lyric,,"['Crime', 'Drama', 'Romance']"
18242,The Secret Adventures of Tom Thumb,,"['Animation', 'Science Fiction']"
11667,Street Fighter,Street Fighter,"['Action', 'Adventure', 'Thriller']"
32502,Coldblooded,,"['Action', 'Comedy']"
267188,Desert Winds,,[]
28732,Fall Time,,"['Action', 'Adventure', 'Crime', 'Drama', 'Thriller']"
75555,The Fear,Fear Collection,"['Horror', 'Thriller']"
42981,Frank and Ollie,,['Documentary']
278939,Girl in the Cadillac,,"['Romance', 'Adventure', 'Crime', 'Drama']"
291731,Homage,,"['Thriller', 'Drama']"
226229,Mirage,,"['Action', 'Thriller']"
203119,Open Season,,['Comedy']
172923,Dos Crímenes,,[]
316098,Brother Minister: The Assassination of Malcolm X,,['Documentary']
8011,Highlander: The Final Dimension,Highlander Collection,"['Action', 'Fantasy', 'Science Fiction']"
171857,Federal Hill,,[]
2654,In the Mouth of Madness,,"['Horror', 'Mystery', 'Thriller']"
18069,8 Seconds,,"['Drama', 'Romance']"
19092,Above the Rim,,"['Crime', 'Drama']"
2758,Addams Family Values,Addams Family Collection,"['Comedy', 'Family', 'Fantasy']"
38129,Martin Lawrence: You So Crazy,,['Comedy']
10436,The Age of Innocence,,"['Drama', 'Romance']"
13595,Airheads,,"['Comedy', 'Crime', 'Music']"
46094,The Air Up There,,"['Comedy', 'Family']"
9409,Another Stakeout,Stakeout Collection,"['Action', 'Comedy']"
11853,Bad Girls,,"['Action', 'Adventure', 'Comedy', 'Drama', 'Western']"
16771,Barcelona,,"['Comedy', 'Drama', 'Romance']"
46924,Being Human,,"['Drama', 'Comedy', 'Fantasy']"
11041,The Beverly Hillbillies,,['Comedy']
306,Beverly Hills Cop III,Beverly Hills Cop Collection,"['Action', 'Comedy', 'Crime']"
14522,Black Beauty,,"['Action', 'Adventure', 'Drama', 'Family']"
26203,Blink,,"['Mystery', 'Crime', 'Drama', 'Thriller']"
178,Blown Away,,"['Drama', 'Action', 'Thriller']"
19819,Blue Chips,,['Drama']
57834,Blue Sky,,"['Drama', 'Romance']"
4722,Body Snatchers,,"['Horror', 'Science Fiction', 'Thriller']"
18215,Boxing Helena,,"['Drama', 'Romance']"
1607,A Bronx Tale,,"['Drama', 'Crime']"
26391,Cabin Boy,,['Comedy']
117553,Calendar Girl,,"['Drama', 'Comedy']"
6075,Carlito's Way,,"['Action', 'Crime', 'Drama', 'Thriller']"
11310,City Slickers II: The Legend of Curly's Gold,City Slickers Collection,"['Action', 'Comedy', 'Drama', 'Western']"
18658,Clean Slate,,"['Comedy', 'Thriller', 'Mystery']"
9350,Cliffhanger,,"['Action', 'Adventure', 'Thriller']"
9612,Coneheads,,"['Comedy', 'Science Fiction', 'Family']"
2124,Color of Night,,"['Drama', 'Mystery', 'Romance', 'Thriller']"
26261,Cops & Robbersons,,"['Action', 'Comedy', 'Family']"
19176,The Cowboy Way,,"['Western', 'Action', 'Comedy']"
49299,Dangerous Game,,['Drama']
11566,Dave,,['Comedy']
9571,Dazed and Confused,,"['Comedy', 'Drama']"
9739,Demolition Man,,"['Crime', 'Action', 'Science Fiction']"
24257,The Endless Summer 2,The Endless Summer Collection,['Documentary']
34444,Even Cowgirls Get the Blues,,"['Western', 'Drama', 'Comedy', 'Romance']"
26141,Fatal Instinct,,['Comedy']
10997,Farewell My Concubine,,['Drama']
50463,The Favor,,"['Drama', 'Comedy', 'Romance']"
10443,Fearless,,['Drama']
20239,Fear of a Black Hat,,['Comedy']
16297,With Honors,,"['Comedy', 'Drama']"
18551,Flesh and Bone,,"['Drama', 'Mystery', 'Romance']"
25440,Widows' Peak,,"['Comedy', 'Thriller', 'Mystery', 'Romance', 'Foreign']"
9024,For Love or Money,,"['Comedy', 'Romance']"
37233,The Firm,,"['Drama', 'Mystery', 'Thriller']"
1634,Free Willy,Free Willy Collection,"['Family', 'Adventure']"
13815,Fresh,,"['Crime', 'Drama', 'Thriller']"
5503,The Fugitive,The Fugitive / U.S. Marshals Collection,"['Adventure', 'Action', 'Thriller', 'Crime', 'Mystery']"
35588,Geronimo: An American Legend,,"['History', 'Action', 'Drama', 'Western']"
